org_standard,org_order,org_family,org_genus,org_species,org_subspecies,org_clean
BURKHOLDERIA LATA,BURKHOLDERIALES,BURKHOLDERIACEAE,BURKHOLDERIA,LATA,,BURKHOLDERIA LATA
BURKHOLDERIA MULTIVORANS,BURKHOLDERIALES,BURKHOLDERIACEAE,BURKHOLDERIA,MULTIVORANS,,BURKHOLDERIA MULTIVORANS
BURKHOLDERIA SP,BURKHOLDERIALES,BURKHOLDERIACEAE,BURKHOLDERIA,SP,,BURKHOLDERIA SP
CUPRIAVIDUS PAUCULUS,BURKHOLDERIALES,BURKHOLDERIACEAE,CUPRIAVIDUS,PAUCULUS,,CUPRIAVIDUS PAUCULUS
CUPRIAVIDUS SP,BURKHOLDERIALES,BURKHOLDERIACEAE,CUPRIAVIDUS,SP,,CUPRIAVIDUS SP
PANDORAEA SPP,BURKHOLDERIALES,BURKHOLDERIACEAE,PANDORAEA,SPP,,PANDORAEA SPP
RALSTONIA INSIDIOSA,BURKHOLDERIALES,BURKHOLDERIACEAE,RALSTONIA,INSIDIOSA,,RALSTONIA INSIDIOSA
RALSTONIA PICKETTII,BURKHOLDERIALES,BURKHOLDERIACEAE,RALSTONIA,PICKETTII,,RALSTONIA PICKETTII
RALSTONIA SP,BURKHOLDERIALES,BURKHOLDERIACEAE,RALSTONIA,SP,,RALSTONIA SP
RALSTONIA SP,BURKHOLDERIALES,BURKHOLDERIACEAE,RALSTONIA,SP,,RALSTONIA SP
COMAMONAS SP,BURKHOLDERIALES,COMAMONADACEAE,COMAMONAS,SP,,COMAMONAS SP
COMAMONAS TESTOSTERONI,BURKHOLDERIALES,COMAMONADACEAE,COMAMONAS,TESTOSTERONI,,COMAMONAS TESTOSTERONI
DELFTIA ACIDOVORANS,BURKHOLDERIALES,COMAMONADACEAE,DELFTIA,ACIDOVORANS,,DELFTIA ACIDOVORANS
DELFITA SP,BURKHOLDERIALES,COMAMONADACEAE,DELFTIA,SP,,DELFTIA SP
DELFTIA SP,BURKHOLDERIALES,COMAMONADACEAE,DELFTIA,SP,,DELFTIA SP
MASSILIA SP,BURKHOLDERIALES,OXALOBACTERACEAE,MASSILIA,SP,,MASSILIA SP
MASSILIA SP,BURKHOLDERIALES,OXALOBACTERACEAE,MASSILIA,SP,,MASSILIA SP
MASSILIA SPP,BURKHOLDERIALES,OXALOBACTERACEAE,MASSILIA,SP,,MASSILIA SP
MASSILIA VARIANS,BURKHOLDERIALES,OXALOBACTERACEAE,MASSILIA,VARIANS,,MASSILIA VARIANS
CAMPYLOBACTER SP,CAMPYLOBACTERALES,CAMPYLOBACTERACEAE,CAMPYLOBACTER,SP,,CAMPYLOBACTER SP
CARDIOBACTERIUM SP,CARDIOBACTERIALES,CARDIOBACTERIACEAE,CARDIOBACTERIUM,SP,,CARDIOBACTERIUM SP
CARNOBACTERIUM DIVERGENS,CARDIOBACTERIALES,CARDIOBACTERIACEAE,CARNOBACTERIUM,DIVERGENS,,CARNOBACTERIUM DIVERGENS
IGNATZSCHINERIA INDICA,CARDIOBACTERIALES,IGNATZSCHINERIACEAE,IGNATZSCHINERIA,INDICA,,IGNATZSCHINERIA INDICA
BREVUNDIMONAS DIMINUTA,CAULOBACTERALES,CAULOBACTERACEAE,BREVUNDIMONAS,DIMINUTA,,BREVUNDIMONAS DIMINUTA
BREVUNDIMONAS SP,CAULOBACTERALES,CAULOBACTERACEAE,BREVUNDIMONAS,SP,,BREVUNDIMONAS SP
BREVUNDIMONAS VESICULARIS,CAULOBACTERALES,CAULOBACTERACEAE,BREVUNDIMONAS,VESICULARIS,,BREVUNDIMONAS VESICULARIS
